-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,java.lang.Thread!setName:String->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,java.lang.Thread!start:->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,@JoinerClass!join:->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,java.util.concurrent.BlockingQueue!put:Object->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,java.util.List!add:*->.*,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,java.util.List!get:int->Object,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,gradingTools.comp533s19.assignment0.AMapReduceTracer!traceBarrierCreated:Object;int->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,gradingTools.comp533s19.assignment0.AMapReduceTracer!traceJoinerCreated:Object;int->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,gradingTools.comp533s19.assignment0.AMapReduceTracer!traceEnqueue:Object->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,gradingTools.comp533s19.assignment0.AMapReduceTracer!traceAddedToMap:Object;Object->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingSetter,NumThreads,int,@ModelClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingGetter,KeyValueQueue,java.util.concurrent.BlockingQueue,@ModelClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingGetter,Joiner,@JoinerClass,@ModelClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingGetter,NumThreads,int,@ModelClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingGetter,Barrier,@BarrierClass,@ModelClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingGetter,ReductionQueueList,List,@ModelClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,expectedMethodCall,java.util.Arrays!asList:Object[]->List,Some method (computeResultMapReduce:String->void),comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,expectedMethodCall,@SlaveClass!.*:->void,Some method (computeResult:comp533.view.TokenCounterView->void),comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,methodAccessModifierMatched,tokenMapGenerator:String[]->Map,private,[comp533.model.TokenCounterModel],[private]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,classHasAtLeastOneInterface,comp533.model.TokenCounterModel,No Tag
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingSignature,terminate:->void,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,publicMethodsDoNotOverride,[public  setInputString:String;comp533.view.TokenCounterView->void, public  computeResult:comp533.view.TokenCounterView->void, public  computeResultMapReduce:String->void, public  getInputString:->String, public  getResult:->java.util.Map]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\MvcTokenCounter.java,tags,comp533.MvcTokenCounter,@StandAloneTokenCounter
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\MvcTokenCounter.java,nameInDictionary,comp533.MvcTokenCounter,comp
